iter	Passed	Remaining
0	33	9956
1	59	8888
2	86	8547
3	105	7815
4	122	7240
5	135	6663
6	146	6150
7	155	5691
8	165	5365
9	175	5076
10	184	4845
11	193	4650
12	203	4489
13	212	4346
14	222	4230
15	232	4126
16	241	4025
17	252	3951
18	262	3880
19	272	3813
20	282	3746
21	291	3686
22	302	3639
23	311	3586
24	321	3538
25	331	3495
26	341	3449
27	350	3406
28	360	3368
29	370	3331
30	380	3299
31	390	3268
32	400	3241
33	410	3212
34	420	3180
35	429	3149
36	438	3117
37	447	3088
38	457	3061
39	466	3034
40	476	3008
41	486	2987
42	496	2964
43	505	2939
44	514	2916
45	523	2892
46	536	2886
47	546	2866
48	555	2846
49	565	2826
50	574	2804
51	583	2782
52	593	2764
53	602	2742
54	611	2722
55	621	2705
56	630	2687
57	640	2670
58	649	2651
59	658	2634
60	668	2619
61	678	2604
62	687	2587
63	697	2573
64	707	2557
65	717	2543
66	727	2529
67	736	2512
68	745	2495
69	754	2478
70	763	2463
71	773	2449
72	782	2432
73	792	2418
74	801	2403
75	810	2390
76	819	2374
77	829	2360
78	838	2346
79	848	2333
80	858	2321
81	867	2307
82	877	2294
83	887	2281
84	896	2268
85	906	2256
86	915	2242
87	925	2229
88	934	2215
89	944	2204
90	954	2191
91	963	2178
92	972	2164
93	981	2150
94	990	2137
95	1002	2130
96	1012	2118
97	1022	2106
98	1031	2094
99	1041	2082
100	1050	2070
101	1060	2058
102	1070	2047
103	1080	2036
104	1089	2023
105	1098	2011
106	1108	1999
107	1118	1987
108	1127	1975
109	1137	1965
110	1147	1953
111	1157	1943
112	1168	1933
113	1179	1923
114	1189	1914
115	1200	1904
116	1210	1893
117	1221	1883
118	1232	1874
119	1243	1865
120	1256	1858
121	1267	1849
122	1278	1839
123	1288	1828
124	1297	1816
125	1307	1805
126	1317	1795
127	1327	1784
128	1338	1773
129	1348	1763
130	1358	1752
131	1367	1740
132	1377	1729
133	1387	1718
134	1397	1708
135	1407	1697
136	1416	1685
137	1426	1674
138	1436	1663
139	1446	1652
140	1455	1641
141	1465	1631
142	1478	1622
143	1487	1611
144	1497	1600
145	1507	1589
146	1517	1579
147	1526	1567
148	1536	1557
149	1546	1546
150	1556	1535
151	1566	1524
152	1574	1513
153	1585	1503
154	1595	1492
155	1605	1481
156	1615	1471
157	1625	1460
158	1635	1449
159	1644	1438
160	1654	1428
161	1664	1418
162	1674	1407
163	1683	1396
164	1693	1385
165	1703	1374
166	1713	1364
167	1722	1353
168	1732	1343
169	1742	1332
170	1752	1322
171	1762	1311
172	1772	1301
173	1782	1290
174	1792	1280
175	1801	1269
176	1811	1258
177	1820	1247
178	1829	1236
179	1839	1226
180	1849	1215
181	1858	1205
182	1868	1194
183	1878	1184
184	1888	1173
185	1897	1163
186	1907	1152
187	1917	1142
188	1927	1132
189	1937	1121
190	1946	1111
191	1956	1100
192	1966	1089
193	1975	1079
194	1985	1069
195	1995	1058
196	2005	1048
197	2015	1038
198	2025	1028
199	2035	1017
200	2044	1007
201	2054	996
202	2065	986
203	2074	976
204	2085	966
205	2096	956
206	2106	946
207	2116	936
208	2126	926
209	2138	916
210	2148	906
211	2159	896
212	2168	885
213	2178	875
214	2188	865
215	2197	854
216	2207	844
217	2217	834
218	2226	823
219	2236	813
220	2245	802
221	2254	792
222	2264	781
223	2274	771
224	2284	761
225	2294	751
226	2304	741
227	2315	731
228	2324	720
229	2333	710
230	2343	700
231	2354	690
232	2363	679
233	2373	669
234	2383	659
235	2393	649
236	2402	638
237	2413	628
238	2422	618
239	2432	608
240	2441	597
241	2452	587
242	2461	577
243	2471	567
244	2481	557
245	2491	546
246	2500	536
247	2510	526
248	2520	516
249	2530	506
250	2539	495
251	2549	485
252	2559	475
253	2569	465
254	2579	455
255	2588	444
256	2598	434
257	2608	424
258	2618	414
259	2628	404
260	2638	394
261	2647	384
262	2657	373
263	2667	363
264	2677	353
265	2687	343
266	2697	333
267	2707	323
268	2717	313
269	2727	303
270	2736	292
271	2746	282
272	2756	272
273	2765	262
274	2775	252
275	2785	242
276	2794	232
277	2804	221
278	2814	211
279	2823	201
280	2833	191
281	2843	181
282	2852	171
283	2862	161
284	2872	151
285	2882	141
286	2892	131
287	2901	120
288	2911	110
289	2921	100
290	2930	90
291	2940	80
292	2950	70
293	2959	60
294	2969	50
295	2979	40
296	2989	30
297	3000	20
298	3009	10
299	3020	0
